上海CGV影城(七宝万科广场IMAX店),733812,35.12,48.94
上海保利国际影城(世博店),645227,29.96,46.75
上海地中海影城,744782,38.04,36.07
哈尔滨艾美影城(太平桥店),689217,51.89,29.47
丽水万地国际影城,746241,44.11,36.42
郑州横店电影院(北金店),574192,32.76,31.07
深圳中影国际影城(龙华九方店),638761,39.75,41.56
长沙CGV影城(德思勤IMAX店),793529,43.45,40.66
长沙保利国际影城(喜盈门.范城店),660566,24.87,36.03
北京百老汇影城(国瑞购物中心店),551874,33.10,47.59
银川万达国际影城(金凤万达广场),686450,31.38,39.79
武汉华谊兄弟影院(光谷IMAX店),711584,38.22,33.96
漳州万达国际影城(漳州万达店),595132,27.13,43.87
深圳百老汇影城(cocopark店),530753,43.69,50.31
北京耀莱成龙国际影城(王府井店),501697,25.96,36.65
长春万达国际影城(重庆路店),643987,41.70,38.53
厦门万达国际影城(集美万达广场店),556412,23.50,42.86
成都蛟龙国际电影城(蛟龙国际店),684136,40.39,26.90
北京沃美影城(常营店),621778,35.48,37.34
黄冈耀莱成龙国际影城(东坡大道店),384382,30.79,28.97
西安奥斯卡赛高国际影城(赛高街区店),716638,37.03,29.79
深圳博纳国际影城(龙华店),622202,33.04,38.05
湖州时代德纳国际影城,954640,28.47,38.46
重庆耀莱成龙国际影城(两江店),522397,25.90,28.30
宜昌天河国际影城,699458,49.50,30.92
武汉城市广场摩尔国际电影城(后湖店),838212,43.28,30.05
徐州万达影城(徐州云龙万达广场店),544476,28.18,36.85
西安CGV影城(胡家庙店),783661,40.07,29.76
常州万达国际影城(武进店),614259,26.58,35.39
南京海上明珠影城虹悦城店,719404,36.10,31.80
惠州惠州橙天嘉禾影城(华贸店),915862,36.23,29.52
成都UA国际金融中心影城,637185,35.18,44.74
徐州徐州万达影城铜山万达广场店,602377,21.07,35.94
成都蜀都万达电影城,591694,22.58,34.38
广州中影凤凰影城(同和店),679840,34.90,32.65
合肥万达影城(之心城光魔店),729113,40.82,34.76
哈尔滨CGV影城(学府店),673228,37.56,34.42
咸阳奥斯卡巨幕影城(人民中路店),813830,38.68,29.63
海口耀莱成龙国际影城(海口店),311113,19.87,28.18
江阴万达影城(江阴IMAX店),532903,24.01,40.49
昆山卢米埃昆山金鹰影城,634989,29.68,34.70
呼和浩特横店电影城(海亮广场店),769711,34.79,32.87
赤峰万达国际影城(万达广场店),583045,26.89,39.50
成都CGV影城(温江店),711098,38.78,32.43
邯郸UME影城(邯郸店),883551,24.78,29.73
上海上影河马国际影城,632374,41.28,35.76
上海百丽宫影城(ifc商场店),503969,37.24,63.13
乌鲁木齐万达影城(经开区广场店),745031,31.27,38.12
北京橙天嘉禾影城(上地店),433715,39.73,46.54
长春吉视影城(迅驰店),1083434,62.51,32.07
上海上影CGV(大宁店),473219,30.05,50.73
广州金逸国际影城(海珠城IMAX店),819285,46.41,48.07
佛山万达国际影城IMAX(三水万达广场店),446285,20.47,36.77
太原奥斯卡国际影城(迎泽西大街店),541081,25.38,33.22
西安欢乐小马电影城,727714,43.21,28.05
长沙沃美影城(金泰路店),661040,35.41,36.21
武汉银兴菲林佰港城店,614155,32.00,33.03
泸州CGV影城(万象汇IMAX店),694584,36.79,34.38
杭州中影国际影城(星光大道二期店),645174,32.27,35.33
广州金逸影城(太阳城IMAX店),739524,37.18,38.42
常州万达国际影城(通江中路店),608572,26.51,37.30
成都卢米埃影城(魅力城店),643590,38.64,32.31
上海大悦城新恒星影城(大悦城店),532516,31.97,50.77
西宁万达影城(海湖万达广场店),604877,27.59,43.42
洛阳万达影城(世茂广场店),770734,41.14,29.93
广州飞扬影城(高德置地店),767029,45.32,40.47
常州中影国际影城(莱蒙店),645921,35.53,30.34
丹东万达国际影城(锦山大街店),683457,31.03,35.31
上海SFC上海影城,1115043,45.51,55.66
太原横店电影城(王府井店),535974,24.24,35.91
株洲中影国际影城(炎帝广场店),775743,43.98,27.76
花都中影佰纳国际影城(花都广百新一城店),574394,28.49,42.61
潍坊齐纳国际影城(泰华新天地店),656536,31.62,35.38
莆田万达国际影城(城厢店),553265,23.56,41.42
青岛万达国际影城(台东店),634166,40.95,33.60
北京保利国际影城(华贸天地店),589029,37.86,38.21
都江堰横店电影城(百伦广场店),562367,37.06,33.15
